"filename", "language", "Properties", "Ignore", "JavaScript", "JSON", "Markdown", "Vue", "XML", "HTML", "Sass", "TypeScript", "comment", "blank", "total"
"c:\Storage\Repos\Web\Axiomatize\.editorconfig", "Properties", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Storage\Repos\Web\Axiomatize\.eslintignore", "Ignore", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Storage\Repos\Web\Axiomatize\.eslintrc.js", "JavaScript", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 8, 8, 47
"c:\Storage\Repos\Web\Axiomatize\.postcssrc.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 2, 2, 9
"c:\Storage\Repos\Web\Axiomatize\README.md", "Markdown", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 7, 27
"c:\Storage\Repos\Web\Axiomatize\babel.config.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Storage\Repos\Web\Axiomatize\jsconfig.json", "JSON", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 31, 0, 36
"c:\Storage\Repos\Web\Axiomatize\package.json", "JSON", 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 1, 39
"c:\Storage\Repos\Web\Axiomatize\quasar.conf.js", "JavaScript", 0, 0, 112, 0, 0, 0, 0, 0, 0, 0, 54, 28, 194
"c:\Storage\Repos\Web\Axiomatize\src\App.vue", "Vue", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 3, 21
"c:\Storage\Repos\Web\Axiomatize\src\assets\IconSuperLarge.svg", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 9
"c:\Storage\Repos\Web\Axiomatize\src\assets\TitleScreen1000.svg", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 9
"c:\Storage\Repos\Web\Axiomatize\src\assets\TitleScreen2000.svg", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 9
"c:\Storage\Repos\Web\Axiomatize\src\assets\TitleScreenCenter.svg", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 9
"c:\Storage\Repos\Web\Axiomatize\src\assets\quasar-logo-full.svg", "XML", 0, 0, 0, 0, 0, 0, 189, 0, 0, 0, 1, 2, 192
"c:\Storage\Repos\Web\Axiomatize\src\assets\sad.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"c:\Storage\Repos\Web\Axiomatize\src\boot\axios.js", "JavaScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Storage\Repos\Web\Axiomatize\src\components\Hud.vue", "Vue", 0, 0, 0, 0, 0, 167, 0, 0, 0, 0, 0, 5, 172
"c:\Storage\Repos\Web\Axiomatize\src\components\Level.vue", "Vue", 0, 0, 0, 0, 0, 69, 0, 0, 0, 0, 3, 7, 79
"c:\Storage\Repos\Web\Axiomatize\src\css\app.sass", "Sass", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
